qs_rank_2027,rank_display,name,name_en,country,city,website_url,qs_url,aliases,us_news_rank,the_rank,strong_subjects,popular_programs,school_type,student_faculty_ratio,international_student_ratio,estimated_annual_cost
1,1,Massachusetts Institute of Technology,Massachusetts Institute of Technology,United States,Cambridge,https://web.mit.edu,https://www.topuniversities.com/world-university-rankings,MIT,2,2,Engineering; Computer Science; Business,MS Engineering; MS Computer Science; MBA/Management,Private,7.7:1,33%,US$80k-100k/yr
2,2,Imperial College London,Imperial College London,United Kingdom,London,https://www.imperial.ac.uk,https://www.topuniversities.com/world-university-rankings,ICL,11,8,Engineering; Computing; Medicine,MS Engineering; MSc Computing; Public Health/Biomedical Sciences,Public,12.1:1,60%,US$55k-75k/yr
2,2,Stanford University,Stanford University,United States,Stanford,https://www.stanford.edu,https://www.topuniversities.com/world-university-rankings,,3,5,Computer Science; Engineering; Business,MS Computer Science; MS Engineering; MBA/Management,Private,5.9:1,25%,US$80k-100k/yr
4,4,University of Oxford,University of Oxford,United Kingdom,Oxford,https://www.ox.ac.uk,https://www.topuniversities.com/world-university-rankings,,4,1,Humanities; Medicine; Social Sciences,Humanities; Public Health/Biomedical Sciences; Public Policy/Economics,Public,10.4:1,43%,US$45k-65k/yr
5,5,Harvard University,Harvard University,United States,Cambridge,https://www.harvard.edu,https://www.topuniversities.com/world-university-rankings,,1,5,Business; Law; Medicine,MBA/Management; LLM; Public Health/Biomedical Sciences,Private,10.1:1,27%,US$80k-100k/yr
6,6,University of Cambridge,University of Cambridge,United Kingdom,Cambridge,https://www.cam.ac.uk,https://www.topuniversities.com/world-university-rankings,,5,3,Engineering; Natural Sciences; Humanities,MS Engineering; Natural Sciences; Humanities,Public,11.3:1,38%,US$45k-65k/yr
7,7,California Institute of Technology,California Institute of Technology,United States,Pasadena,https://www.caltech.edu,https://www.topuniversities.com/world-university-rankings,Caltech,23,7,Physical Sciences; Engineering; Computer Science,Physics/Math; MS Engineering; MS Computer Science,Private,6.7:1,33%,US$80k-100k/yr
8,8,Swiss Federal Institute of Technology Zurich,Swiss Federal Institute of Technology Zurich,Switzerland,Zurich,https://ethz.ch,https://www.topuniversities.com/world-university-rankings,ETH,35,11,Engineering; Computer Science; Natural Sciences,MS Engineering; MS Computer Science; Natural Sciences,Public,15.5:1,44%,US$30k-55k/yr
8,8,University College London,University College London,United Kingdom,London,http://www.ucl.ac.uk,https://www.topuniversities.com/world-university-rankings,UCL,7,22,Medicine; Architecture; Social Sciences,Public Health/Biomedical Sciences; Architecture/Urban Planning; Public Policy/Economics,Public,12.1:1,63%,US$55k-75k/yr
10,10,National University of Singapore,National University of Singapore,Singapore,Singapore,http://www.nus.edu.sg,https://www.topuniversities.com/world-university-rankings,NUS,20,17,Engineering; Computer Science; Business,MS Engineering; MS Computer Science; MBA/Management,Public,21.0:1,31%,US$35k-55k/yr
11,11,The University of Hong Kong,The University of Hong Kong,Hong Kong,Hong Kong,https://www.hkust-gz.edu.cn,https://www.topuniversities.com/world-university-rankings,HKU,44,33,Medicine; Law; Business,Public Health/Biomedical Sciences; LLM; MBA/Management,Public,17.8:1,48%,US$30k-50k/yr
12,12,"Nanyang Technological University, Singapore","Nanyang Technological University, Singapore",Singapore,Singapore,https://www.ntu.edu.sg,https://www.topuniversities.com/world-university-rankings,NTU,28,31,Engineering; Computer Science; Business,MS Engineering; MS Computer Science; MBA/Management,Public,17.3:1,31%,US$35k-55k/yr
13,13,Peking University,Peking University,China,Beijing,https://www.pku.edu.cn,https://www.topuniversities.com/world-university-rankings,PKU,25,13,Social Sciences; Medicine; Natural Sciences,Public Policy/Economics; Public Health/Biomedical Sciences; Natural Sciences,Public,11.3:1,15%,US$12k-30k/yr
14,14,Tsinghua University,Tsinghua University,China,Beijing,https://www.tsinghua.edu.cn,https://www.topuniversities.com/world-university-rankings,THU,11,12,Engineering; Computer Science; Business,MS Engineering; MS Computer Science; MBA/Management,Public,10.8:1,11%,US$12k-30k/yr
15,15,University of Pennsylvania,University of Pennsylvania,United States,Philadelphia,https://www.upenn.edu,https://www.topuniversities.com/world-university-rankings,UPenn,15,14,Business; Medicine; Social Sciences,MBA/Management; Public Health/Biomedical Sciences; Public Policy/Economics,Private,6.6:1,26%,US$80k-100k/yr
16,16,Cornell University,Cornell University,United States,Ithaca,https://www.cornell.edu,https://www.topuniversities.com/world-university-rankings,,16,18,Engineering; Agriculture; Business,MS Engineering; Agriculture/Food Science; MBA/Management,Private,10.6:1,26%,US$80k-100k/yr
16,16,Yale University,Yale University,United States,New Haven,https://www.yale.edu,https://www.topuniversities.com/world-university-rankings,,9,10,Law; Humanities; Medicine,LLM; Humanities; Public Health/Biomedical Sciences,Private,6.2:1,24%,US$80k-100k/yr
18,18,The Chinese University of Hong Kong,The Chinese University of Hong Kong,Hong Kong,Hong Kong,https://www.cuhk.edu.cn,https://www.topuniversities.com/world-university-rankings,CUHK,37,41,Medicine; Business; Social Sciences,Public Health/Biomedical Sciences; MBA/Management; Public Policy/Economics,Public,18.2:1,25%,US$30k-50k/yr
19,19,The University of New South Wales,The University of New South Wales,Australia,Sydney,https://www.unsw.edu.au,https://www.topuniversities.com/world-university-rankings,UNSW,34,79,Engineering; Business; Law,MS Engineering; MBA/Management; LLM,Public,32.5:1,44%,US$45k-65k/yr
20,20,Johns Hopkins University,Johns Hopkins University,United States,Baltimore,https://www.jhu.edu,https://www.topuniversities.com/world-university-rankings,JHU,14,16,Medicine; Public Health; Engineering,Public Health/Biomedical Sciences; MPH/Public Health; MS Engineering,Private,5.6:1,34%,US$80k-100k/yr
20,20,"University of California, Berkeley","University of California, Berkeley",United States,Berkeley,https://www.berkeley.edu,https://www.topuniversities.com/world-university-rankings,UC Berkeley,6,9,Computer Science; Engineering; Social Sciences,MS Computer Science; MS Engineering; Public Policy/Economics,Public,18.4:1,25%,US$55k-80k/yr
22,22,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,Switzerland,Lausanne,http://www.epfl.ch,https://www.topuniversities.com/world-university-rankings,EPFL,86,35,Engineering; Computer Science; Life Sciences,MS Engineering; MS Computer Science; Life Sciences,Public,13.3:1,64%,US$30k-55k/yr
22,22,The University of Melbourne,The University of Melbourne,Australia,Melbourne,https://www.unimelb.edu.au,https://www.topuniversities.com/world-university-rankings,UniMelb,30,37,Medicine; Law; Business,Public Health/Biomedical Sciences; LLM; MBA/Management,Public,23.3:1,51%,US$45k-65k/yr
24,24,University of Chicago,University of Chicago,United States,Chicago,https://www.uchicago.edu,https://www.topuniversities.com/world-university-rankings,UChicago,26,15,Economics; Business; Social Sciences,Economics/Finance; MBA/Management; Public Policy/Economics,Private,5.9:1,39%,US$80k-100k/yr
25,25,Technical University of Munich,Technical University of Munich,Germany,Munich,https://www.tum.de,https://www.topuniversities.com/world-university-rankings,TUM,79,27,Engineering; Computer Science; Natural Sciences,MS Engineering; MS Computer Science; Natural Sciences,Public,40.7:1,45%,US$18k-35k/yr
26,26,Fudan University,Fudan University,China,Shanghai,https://fudan.edu.cn,https://www.topuniversities.com/world-university-rankings,,70,36,Medicine; Management; Social Sciences,Public Health/Biomedical Sciences; MBA/Management; Public Policy/Economics,Public,12.4:1,10%,US$12k-30k/yr
27,27,Princeton University,Princeton University,United States,Princeton,https://www.princeton.edu,https://www.topuniversities.com/world-university-rankings,,16,3,Engineering; Natural Sciences; Public Affairs,MS Engineering; Natural Sciences,Private,8.2:1,23%,US$80k-100k/yr
28,28,The University of Sydney,The University of Sydney,Australia,Sydney,https://www.sydney.edu.au,https://www.topuniversities.com/world-university-rankings,USYD,29,53,Medicine; Business; Engineering,Public Health/Biomedical Sciences; MBA/Management; MS Engineering,Public,22.4:1,53%,US$45k-65k/yr
29,29,Australian National University,Australian National University,Australia,Canberra,https://www.anu.edu.au,https://www.topuniversities.com/world-university-rankings,ANU,86,73,Politics; Economics; Natural Sciences,Public Policy/Economics; Economics/Finance; Natural Sciences,Public,13.3:1,51%,US$45k-65k/yr
30,30,McGill University,McGill University,Canada,Montreal,https://www.mcgill.ca,https://www.topuniversities.com/world-university-rankings,,62,41,Medicine; Engineering; Management,Public Health/Biomedical Sciences; MS Engineering; MBA/Management,Public,11.7:1,29%,US$35k-55k/yr
31,31,Monash University,Monash University,Australia,Melbourne,https://www.monash.edu,https://www.topuniversities.com/world-university-rankings,,38,58,Pharmacy; Medicine; Engineering,Pharmacy; Public Health/Biomedical Sciences; MS Engineering,Public,30.6:1,36%,US$45k-65k/yr
32,32,University of Toronto,University of Toronto,Canada,Toronto,https://www.utoronto.ca,https://www.topuniversities.com/world-university-rankings,UofT,16,21,Computer Science; Medicine; Engineering,MS Computer Science; Public Health/Biomedical Sciences; MS Engineering,Public,25.1:1,39%,US$35k-55k/yr
33,33,The Hong Kong University of Science and Technology,The Hong Kong University of Science and Technology,Hong Kong,Hong Kong,https://www.hkust-gz.edu.cn,https://www.topuniversities.com/world-university-rankings,HKUST,101,58,Engineering; Business; Computer Science,MS Engineering; MBA/Management; MS Computer Science,Public,14.3:1,48%,US$30k-50k/yr
34,34,Université PSL,Université PSL,France,Paris,https://psl.eu,https://www.topuniversities.com/world-university-rankings,PSL,105,48,Natural Sciences; Humanities; Engineering,Natural Sciences; Humanities; MS Engineering,Public,14.5:1,20%,US$20k-45k/yr
35,35,The University of Edinburgh,The University of Edinburgh,United Kingdom,Edinburgh,https://www.ed.ac.uk,https://www.topuniversities.com/world-university-rankings,,39,29,Informatics; Medicine; Humanities,Public Health/Biomedical Sciences; Humanities,Public,11.3:1,49%,US$45k-65k/yr
36,36,Shanghai Jiao Tong University,Shanghai Jiao Tong University,China,Shanghai,https://www.sjtu.edu.cn,https://www.topuniversities.com/world-university-rankings,SJTU,46,40,Engineering; Medicine; Business,MS Engineering; Public Health/Biomedical Sciences; MBA/Management,Public,12.5:1,11%,US$12k-30k/yr
37,37,King's College London,King's College London,United Kingdom,London,http://www.kcl.ac.uk/index.aspx,https://www.topuniversities.com/world-university-rankings,KCL,36,38,Medicine; Law; Social Sciences,Public Health/Biomedical Sciences; LLM; Public Policy/Economics,Public,12.6:1,52%,US$55k-75k/yr
38,38,Seoul National University,Seoul National University,South Korea,Seoul,https://www.snu.ac.kr,https://www.topuniversities.com/world-university-rankings,SNU,133,58,Engineering; Medicine; Social Sciences,MS Engineering; Public Health/Biomedical Sciences; Public Policy/Economics,Public,15.3:1,16%,US$20k-40k/yr
39,39,The University of Tokyo,The University of Tokyo,Japan,Tokyo,https://www.u-tokyo.ac.jp,https://www.topuniversities.com/world-university-rankings,UTokyo,84,26,Engineering; Natural Sciences; Social Sciences,MS Engineering; Natural Sciences; Public Policy/Economics,Public,10.2:1,18%,US$18k-35k/yr
40,40,The University of Manchester,The University of Manchester,United Kingdom,Manchester,https://www.manchester.ac.uk,https://www.topuniversities.com/world-university-rankings,,68,56,Engineering; Business; Life Sciences,MS Engineering; MBA/Management; Life Sciences,Public,14.9:1,46%,US$45k-65k/yr
40,40,The University of Queensland,The University of Queensland,Australia,Brisbane,https://www.uq.edu.au,https://www.topuniversities.com/world-university-rankings,UQ,43,80,Biological Sciences; Engineering; Business,MS Engineering; MBA/Management,Public,23.6:1,43%,US$45k-65k/yr
42,42,Yonsei University,Yonsei University,South Korea,Seoul,https://www.yonsei.ac.kr,https://www.topuniversities.com/world-university-rankings,,180,86,Medicine; Business; Social Sciences,Public Health/Biomedical Sciences; MBA/Management; Public Policy/Economics,Private,15.3:1,17%,US$20k-40k/yr
43,43,Columbia University,Columbia University,United States,New York,https://www.columbia.edu,https://www.topuniversities.com/world-university-rankings,,10,20,Journalism; Business; Engineering,Journalism; MBA/Management; MS Engineering,Private,5.6:1,42%,US$80k-100k/yr
43,43,Institut Polytechnique de Paris,Institut Polytechnique de Paris,France,Palaiseau,https://www.ip-paris.fr,https://www.topuniversities.com/world-university-rankings,IP Paris,323,68,Engineering; Computer Science; Mathematics,MS Engineering; MS Computer Science; Mathematics,Public,7.6:1,43%,US$20k-45k/yr
45,45,Northwestern University,Northwestern University,United States,Evanston,http://www.northwestern.edu,https://www.topuniversities.com/world-university-rankings,,24,30,Engineering; Business; Communication,MS Engineering; MBA/Management,Private,8.2:1,24%,US$80k-100k/yr
45,45,University of British Columbia,University of British Columbia,Canada,Vancouver,https://www.ubc.ca,https://www.topuniversities.com/world-university-rankings,UBC,41,45,Computer Science; Forestry; Medicine,MS Computer Science; Forestry/Environment; Public Health/Biomedical Sciences,Public,18.7:1,34%,US$35k-55k/yr
47,47,Zhejiang University,Zhejiang University,China,Hangzhou,https://www.zju.edu.cn,https://www.topuniversities.com/world-university-rankings,ZJU,45,39,Engineering; Computer Science; Medicine,MS Engineering; MS Computer Science; Public Health/Biomedical Sciences,Public,13.0:1,14%,US$12k-30k/yr
48,48,Delft University of Technology,Delft University of Technology,Netherlands,Delft,https://www.tudelft.nl,https://www.topuniversities.com/world-university-rankings,TU Delft,191,57,Engineering; Architecture; Computer Science,MS Engineering; Architecture/Urban Planning; MS Computer Science,Public,14.8:1,35%,US$25k-45k/yr
49,49,"University of California, Los Angeles","University of California, Los Angeles",United States,Los Angeles,https://www.ucla.edu,https://www.topuniversities.com/world-university-rankings,UCLA,13,18,Film; Engineering; Medicine,Film/Media; MS Engineering; Public Health/Biomedical Sciences,Public,9.8:1,15%,US$55k-80k/yr
50,50,The Hong Kong Polytechnic University,The Hong Kong Polytechnic University,Hong Kong,Hong Kong,https://www.polyu.edu.hk,https://www.topuniversities.com/world-university-rankings,PolyU,58,80,Engineering; Hospitality; Design,MS Engineering; Hospitality; Design,Public,17.8:1,42%,US$30k-50k/yr
51,51,University of Michigan-Ann Arbor,University of Michigan-Ann Arbor,United States,Ann Arbor,https://www.umich.edu,https://www.topuniversities.com/world-university-rankings,UMich,21,23,Engineering; Business; Public Policy,MS Engineering; MBA/Management; MPP/Public Policy,Public,8.4:1,19%,US$55k-80k/yr
52,52,City University of Hong Kong,City University of Hong Kong,Hong Kong,Hong Kong,https://www.cityu.edu.hk,https://www.topuniversities.com/world-university-rankings,CityUHK,54,73,Business; Engineering; Data Science,MBA/Management; MS Engineering; MS Data Science,Public,12.4:1,76%,US$30k-50k/yr
52,52,Korea University,Korea University,South Korea,Seoul,https://www.korea.ac.kr,https://www.topuniversities.com/world-university-rankings,KU,288,156,Business; Law; Engineering,MBA/Management; LLM; MS Engineering,Private,17.5:1,38%,US$20k-40k/yr
54,54,National Taiwan University,National Taiwan University,Taiwan,Taipei,http://www.ntu.edu.tw/english,https://www.topuniversities.com/world-university-rankings,NTU,248,140,Medicine; Engineering; Computer Science,Public Health/Biomedical Sciences; MS Engineering; MS Computer Science,Public,9.7:1,24%,US$10k-25k/yr
55,55,Carnegie Mellon University,Carnegie Mellon University,United States,Pittsburgh,https://www.cmu.edu,https://www.topuniversities.com/world-university-rankings,CMU,126,24,Computer Science; Engineering; Business,MS Computer Science; MS Engineering; MBA/Management,Private,13.0:1,50%,US$80k-100k/yr
56,56,Universiti Malaya,Universiti Malaya,Malaysia,Kuala Lumpur,https://www.um.edu.my,https://www.topuniversities.com/world-university-rankings,UM,331,201–250,Medicine; Engineering; Business,Public Health/Biomedical Sciences; MS Engineering; MBA/Management,Public,9.7:1,32%,US$10k-25k/yr
57,57,University of Bristol,University of Bristol,United Kingdom,Bristol,http://bristol.ac.uk,https://www.topuniversities.com/world-university-rankings,,105,80,Engineering; Medicine; Social Sciences,MS Engineering; Public Health/Biomedical Sciences; Public Policy/Economics,Public,14.2:1,35%,US$45k-65k/yr
58,58,New York University,New York University,United States,New York,https://www.nyu.edu,https://www.topuniversities.com/world-university-rankings,NYU,32,31,Business; Arts; Data Science,MBA/Management; MS Data Science,Private,9.0:1,46%,US$80k-100k/yr
59,59,KU Leuven,KU Leuven,Belgium,Leuven,https://www.kuleuven.be,https://www.topuniversities.com/world-university-rankings,KUL,50,46,Engineering; Medicine; Theology,MS Engineering; Public Health/Biomedical Sciences; Theology,Private,37.1:1,21%,US$18k-35k/yr
60,60,University of Amsterdam,University of Amsterdam,Netherlands,Amsterdam,https://www.uva.nl,https://www.topuniversities.com/world-university-rankings,UvA,33,62,Social Sciences; Psychology; Business,Public Policy/Economics; Psychology; MBA/Management,Public,12.6:1,39%,US$25k-45k/yr
61,61,Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München,Germany,Munich,https://www.lmu.de,https://www.topuniversities.com/world-university-rankings,LMU,57,34,Medicine; Natural Sciences; Humanities,Public Health/Biomedical Sciences; Natural Sciences; Humanities,Public,19.1:1,19%,US$18k-35k/yr
62,62,The London School of Economics and Political Science,The London School of Economics and Political Science,United Kingdom,London,https://www.lse.ac.uk,https://www.topuniversities.com/world-university-rankings,LSE,234,52,Economics; Social Sciences; Law,Economics/Finance; Public Policy/Economics; LLM,Public,12.3:1,72%,US$55k-75k/yr
63,63,King Fahd University of Petroleum and Minerals,King Fahd University of Petroleum and Minerals,Saudi Arabia,Dhahran,https://www.kfupm.edu.sa,https://www.topuniversities.com/world-university-rankings,KFUPM,314,184,Petroleum Engineering; Energy; Computer Science,Petroleum/Energy Engineering; Energy Engineering; MS Computer Science,Public,8.3:1,28%,US$15k-35k/yr
64,64,Kyoto University,Kyoto University,Japan,Kyoto,http://www.kyoto-u.ac.jp/en,https://www.topuniversities.com/world-university-rankings,,187,61,Natural Sciences; Engineering; Medicine,Natural Sciences; MS Engineering; Public Health/Biomedical Sciences,Public,9.0:1,11%,US$18k-35k/yr
65,65,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,South Korea,Daejeon,https://www.kaist.ac.kr,https://www.topuniversities.com/world-university-rankings,KAIST,281,70,Engineering; Computer Science; Natural Sciences,MS Engineering; MS Computer Science; Natural Sciences,Public,11.9:1,11%,US$20k-40k/yr
66,66,Brown University,Brown University,United States,Providence,https://www.brown.edu,https://www.topuniversities.com/world-university-rankings,,150,65,Computer Science; Public Health; Liberal Arts,MS Computer Science; MPH/Public Health,Private,10.3:1,22%,US$80k-100k/yr
67,67,The University of Auckland,The University of Auckland,New Zealand,Auckland,https://www.auckland.ac.nz,https://www.topuniversities.com/world-university-rankings,UoA,128,156,Engineering; Business; Health Sciences,MS Engineering; MBA/Management,Public,23.3:1,33%,US$35k-55k/yr
68,68,The University of Warwick,The University of Warwick,United Kingdom,Coventry,https://warwick.ac.uk,https://www.topuniversities.com/world-university-rankings,,182,122,Business; Mathematics; Economics,MBA/Management; Mathematics; Economics/Finance,Public,13.2:1,44%,US$45k-65k/yr
68,68,University of Birmingham,University of Birmingham,United Kingdom,Birmingham,http://www.birmingham.ac.uk/index.aspx,https://www.topuniversities.com/world-university-rankings,,94,98,Engineering; Business; Education,MS Engineering; MBA/Management; Education,Public,14.6:1,35%,US$45k-65k/yr
70,70,Duke University,Duke University,United States,Durham,https://duke.edu,https://www.topuniversities.com/world-university-rankings,,27,28,Business; Medicine; Public Policy,MBA/Management; Public Health/Biomedical Sciences; MPP/Public Policy,Private,4.4:1,25%,US$80k-100k/yr
71,71,Lund University,Lund University,Sweden,Lund,https://www.lu.se,https://www.topuniversities.com/world-university-rankings,LU,121,95,Engineering; Medicine; Sustainability,MS Engineering; Public Health/Biomedical Sciences; Sustainability,Public,10.2:1,22%,US$25k-45k/yr
72,72,University of Texas at Austin,University of Texas at Austin,United States,Austin,http://www.utexas.edu,https://www.topuniversities.com/world-university-rankings,UT Austin,65,50,Engineering; Computer Science; Business,MS Engineering; MS Computer Science; MBA/Management,Public,17.0:1,10%,US$55k-80k/yr
73,73,Sorbonne University,Sorbonne University,France,Paris,https://www.sorbonne-universite.fr,https://www.topuniversities.com/world-university-rankings,,62,76,Humanities; Medicine; Natural Sciences,Humanities; Public Health/Biomedical Sciences; Natural Sciences,Public,13.6:1,23%,US$20k-45k/yr
74,74,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,United States,Urbana,https://illinois.edu,https://www.topuniversities.com/world-university-rankings,UIUC,109,41,Engineering; Computer Science; Business,MS Engineering; MS Computer Science; MBA/Management,Public,18.9:1,23%,US$55k-80k/yr
